respondent_id,question,response
180,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
180,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
182,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
182,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
182,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
184,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
185,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
185,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
186,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
186,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
186,Please tick the companies where you feel you are a customer/user of their services today.,First Hotels
186,Please tick the companies where you feel you are a customer/user of their services today.,GoodMorning Hotels
186,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
186,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
187,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
187,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
187,Please tick the companies where you feel you are a customer/user of their services today.,First Hotels
187,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
187,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
188,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
189,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
190,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
192,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
193,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
195,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
196,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
196,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
197,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
199,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
199,Please tick the companies where you feel you are a customer/user of their services today.,First Hotels
199,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
201,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
201,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
202,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
202,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
203,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
203,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
203,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
204,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
204,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
205,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
205,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
205,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
205,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
205,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
206,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
206,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
207,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
208,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
208,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
209,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
209,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
210,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
210,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
210,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
212,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
212,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
212,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
213,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
213,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
213,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
214,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
215,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
217,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
217,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
217,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
220,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
220,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
220,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
220,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
221,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
221,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
221,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
223,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
223,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
223,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
223,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
223,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
224,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
224,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
224,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
227,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
229,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
229,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
229,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
229,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
231,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
232,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
232,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
232,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
235,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
235,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
236,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
236,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
238,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
238,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
238,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
239,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
239,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
240,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
