respondent_id,interest
350,Entertainment & celebrities
350,Travelling abroad
350,Series on TV or online
350,Shopping
350,Theatre
350,dance & other performing arts
350,Foreign news & foreign policy
350,Practising a sport
351,Cars and lorries
351,Books/literature
351,Outdoor recreation
351,Gambling (games of chance e.g. poker
351,casino
351,trotting etc)
351,Gaming (e-sports
351,computer games
351,online games etc)
351,Construction & carpentry
351,Local news
351,New technologies & digitalisation
351,Entertainment & celebrities
351,Politics
351,Travelling abroad
351,Foreign news & foreign policy
351,Practising a sport
352,Books/literature
352,Economy & business
352,Fitness & training
352,Outdoor recreation
352,Health & wellness
352,Politics
352,Travelling abroad
352,Foreign news & foreign policy
352,Practising a sport
353,Practising a sport
361,Cars and lorries
361,Films
361,Fitness & training
361,Health & wellness
361,Natural sciences
361,New technologies & digitalisation
361,Travelling abroad
361,Series on TV or online
361,Sports news
361,Practising a sport
365,Books/literature
365,Films
365,Fitness & training
365,Outdoor recreation
365,Sustainability & environment
365,Health & wellness
365,Interior design
365,Arts & Crafts
365,Local news
365,Cookery
365,Fashion and clothing
365,Music and theatre
365,New technologies & digitalisation
365,Entertainment & celebrities
365,Politics
365,Travelling abroad
365,Series on TV or online
365,Beauty news
365,Theatre
365,dance & other performing arts
365,Foreign news & foreign policy
365,Practising a sport
365,Plants
365,growing & gardening
369,Books/literature
369,Sustainability & environment
369,Interior design
369,Arts & Crafts
369,Local news
369,Travelling abroad
369,Series on TV or online
369,Sports news
369,Foreign news & foreign policy
369,Practising a sport
369,Plants
369,growing & gardening
370,Outdoor recreation
370,Hunting or fishing
370,Travelling abroad
371,Economy & business
371,Cookery
371,Fashion and clothing
371,New technologies & digitalisation
371,Politics
371,Sports news
371,Foreign news & foreign policy
371,Practising a sport
374,Books/literature
374,Outdoor recreation
374,Sustainability & environment
374,Health & wellness
374,Politics
374,Travelling abroad
374,Foreign news & foreign policy
377,Fitness & training
377,Construction & carpentry
377,Practising a sport
381,Books/literature
381,Construction & carpentry
381,Interior design
381,Arts & Crafts
381,Music and theatre
381,Plants
381,growing & gardening
384,Economy & business
384,Outdoor recreation
384,Health & wellness
384,Politics
384,Foreign news & foreign policy
385,Economy & business
385,Outdoor recreation
385,Construction & carpentry
385,Foreign news & foreign policy
385,Practising a sport
385,Plants
385,growing & gardening
386,Books/literature
386,Economy & business
386,Outdoor recreation
386,Cookery
386,Music and theatre
386,Travelling abroad
386,Sports news
389,Cars and lorries
389,Books/literature
389,Films
389,Construction & carpentry
389,Fashion and clothing
389,Entertainment & celebrities
389,Travelling abroad
389,Series on TV or online
389,Theatre
389,dance & other performing arts
390,Cars and lorries
390,Construction & carpentry
390,Interior design
390,New technologies & digitalisation
390,Shopping
393,Cars and lorries
393,Construction & carpentry
393,Arts & Crafts
393,Sports news
394,Books/literature
394,Films
394,Outdoor recreation
394,Gaming (e-sports
394,computer games
394,online games etc)
394,Sustainability & environment
394,Natural sciences
394,Politics
